	AS1	AS2	AS3	AS4	BS1	BS2	BS3	BS4	BS5	DM1	DM2	FD1	FD2	FD3	FD4	FD5	FD6	FD7	FD8	FG1	FG2	FG3	FG4	FG5	FG6	RE1	RE2	RE3	RE4	RE5	RE6	RE7	RE8	RF1	RF2	RF3	RF4	LO1	LO2	LO3	LO4	LO5	LO6	LO7	RM1	RM2	RM3	RM4	RM5	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	CP1	CP2	CP3	BF1	BF2	BF3	BF4
104	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
105	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
106	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
107	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
108	1	2	0	2	0	3	0	0	0	3	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	3	0	0	2	3	3	0	0	0	3	0	0	0	0	0	0	3	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA
109	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
110	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
111	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
112	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
113	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	1	0	0	1	0	1	3	0	0	0	1	0	3	0	0	0	1	1	0	1	2	0	0	0	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
114	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	1	0	0	1	0	1	3	0	0	0	1	0	3	0	0	0	1	1	0	1	2	0	0	0	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
115	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	1	0	0	1	0	1	3	0	0	0	1	0	3	0	0	0	1	1	0	1	2	0	0	0	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
116	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
117	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
118	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
119	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
120	3	3	1	1	1	1	1	1	0	1	3	1	1	2	1	1	1	1	1	0	1	1	0	1	1	0	1	1	2	1	1	1	0	1	1	1	3	1	1	2	3	1	1	0	1	1	2	3	0	0	0	1	1	1	3	0	0	0	2	2	0	2	1	1
121	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
122	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
123	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
124	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
125	3	3	3	0	0	0	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
126	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
127	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
128	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
129	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
130	3	3	3	0	0	0	3	0	0	3	1	0	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	1	0	1	2	0	0	0	0	0	3	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
132	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	1	0	0	1	0	1	3	0	0	0	1	0	3	0	0	0	1	1	0	1	2	0	0	0	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
133	3	3	3	0	0	3	0	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	3	0	0	0	0	1	3	1	0	0	0	3	0
134	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
135	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
136	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
137	3	3	3	0	0	0	0	3	0	3	1	2	3	1	3	0	0	0	0	1	0	1	3	0	0	0	0	0	2	2	0	0	0	1	0	1	2	0	0	0	3	1	0	3	3	3	0	0	0	0	3	0	0	0	0	0	3	3	1	0	0	0	3	0
138	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
139	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
140	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
141	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
143	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
144	3	3	3	0	0	2	2	2	0	3	1	2	3	1	3	1	1	1	1	1	0	1	3	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	2	1	0	0	0	0	0	3	3	1	0	0	0	3	0
145	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
146	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
147	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
148	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
149	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
150	3	3	3	0	0	0	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
151	2	3	2	0	0	0	3	0	0	1	3	0	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	3	0
152	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
153	3	3	1	1	1	1	1	1	0	1	3	1	1	2	1	1	1	1	1	0	1	1	0	1	1	0	1	1	2	1	1	1	0	1	1	1	3	1	1	2	3	1	1	0	1	1	2	3	0	0	0	1	1	1	3	0	0	0	2	2	0	2	1	1
154	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
155	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
156	3	3	3	0	0	0	0	3	0	3	1	2	3	1	3	0	0	0	0	1	0	1	3	0	0	0	0	0	2	2	0	0	0	1	0	1	2	0	0	0	3	1	0	3	3	3	0	0	0	0	3	0	0	0	0	0	3	3	1	0	0	0	3	0
157	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
158	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
159	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
160	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
161	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
162	3	3	3	0	0	2	2	2	0	3	1	2	3	1	3	1	1	1	1	1	0	1	3	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	2	1	0	0	0	0	0	3	3	1	0	0	0	3	0
163	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
164	3	3	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0	3	0	1	1	1	1	1	0	0	0	0	0	3	1	1	3	1	0	0	0	1	0	0	3	2	0	0	1	1	0	3	0	0	0	3	2	0	0	3	0
165	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
166	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
167	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
168	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
169	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
170	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
171	3	3	3	0	0	2	2	2	0	3	1	2	3	1	3	1	1	1	1	1	0	1	3	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	2	1	0	0	0	0	0	3	3	1	0	0	0	3	0
172	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
173	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
174	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
175	3	3	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0	3	0	1	1	1	1	1	0	0	0	0	0	3	1	1	3	1	0	0	0	1	0	0	3	3	0	0	1	1	0	3	0	0	0	3	2	0	0	3	0
176	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
177	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
178	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
179	3	3	3	0	0	0	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
180	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
181	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
182	3	3	3	0	0	0	3	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	1	0	1	2	0	0	0	3	1	0	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
183	3	3	3	0	0	3	0	0	0	3	1	3	3	1	3	0	1	0	0	1	0	1	3	0	0	0	0	0	3	0	0	0	0	1	0	1	2	0	0	0	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
184	3	3	3	0	0	3	0	0	0	3	1	3	3	1	3	0	1	0	0	1	0	1	3	0	0	0	0	0	3	0	0	0	0	1	0	1	2	0	0	0	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
185	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	1	0	0	1	0	1	3	0	0	0	1	0	3	0	0	0	1	1	0	1	2	0	0	0	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
186	3	3	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0	3	0	1	1	1	1	1	0	0	0	0	0	3	1	1	3	1	0	0	0	1	0	0	3	2	0	0	1	1	0	3	0	0	0	3	2	0	0	3	0
187	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
188	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
189	3	3	3	0	0	1	3	0	0	3	1	1	1	0	1	0	0	1	3	1	0	0	0	3	3	0	0	0	3	1	1	0	0	1	0	1	2	0	0	2	3	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
190	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	1	0	0	1	0	1	3	0	0	0	1	0	3	0	0	0	1	1	0	1	2	0	0	0	3	2	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
191	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
192	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
193	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
194	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
195	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
196	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
197	3	3	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0	3	0	1	1	1	1	1	0	0	0	0	0	3	1	1	3	1	0	0	0	1	0	0	3	3	0	0	1	1	0	3	0	0	0	3	2	0	0	3	0
198	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
199	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
200	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
201	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
202	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
203	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
204	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
205	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
206	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
207	3	3	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0
208	3	3	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0	3	0	1	1	1	1	1	0	0	0	0	0	3	1	1	3	1	0	0	0	1	0	0	3	2	0	0	1	1	0	3	0	0	0	3	2	0	0	3	0
209	3	3	3	0	0	3	0	0	0	2	3	3	1	0	3	0	0	0	0	1	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	2	3	0	0	0	3	0
210	3	3	3	0	0	3	0	0	0	2	3	3	1	0	3	0	0	0	0	1	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	2	3	0	0	0	3	0
